task_id,inspection_date,compressive_strength_mpa,surface_flatness_mm_per_m,weld_quality_score
98,2024-04-17,36.49,1.63,
99,2024-06-18,33.94,1.35,
100,2024-09-08,33.34,2.92,
101,2024-10-04,40.05,2.38,
102,2024-07-27,34.74,2.08,
103,2024-08-23,29.59,2.06,
104,2024-07-21,41.4,2.42,
105,2024-04-21,39.53,1.92,
106,2024-07-11,37.36,2.31,
107,2024-10-14,26.05,1.82,
108,2024-12-21,38.94,2.08,
109,2024-09-02,28.84,1.6,
110,2024-12-12,43.57,3.01,
111,2024-02-03,32.84,1.77,
112,2024-06-18,33.4,1.93,
113,2024-02-22,33.84,1.75,
114,2024-06-22,34.85,2.12,
115,2024-03-23,28.15,1.98,
116,2024-01-24,30.11,2.72,
117,2024-10-19,30.58,2.0,
118,2024-12-15,44.01,2.63,
119,2024-11-25,44.27,1.71,
120,2024-09-21,32.56,2.1,
121,2024-06-24,39.77,2.31,
122,2024-08-16,26.41,2.02,
123,2024-12-03,36.56,1.83,
124,2024-12-28,40.9,1.66,
125,2024-11-12,34.38,2.67,
126,2024-03-10,41.44,2.17,
127,2024-06-20,34.43,1.79,
128,2024-02-24,37.84,1.04,
129,2024-03-05,44.5,2.03,
130,2024-09-03,29.25,1.31,
131,2024-06-22,40.58,1.84,
132,2024-04-10,46.01,1.69,
133,2024-02-22,36.87,3.01,
134,2024-08-13,34.58,2.09,
135,2024-04-02,40.35,2.23,
136,2024-01-19,30.3,1.95,
137,2024-05-09,32.57,2.06,
138,2024-08-18,33.07,2.87,
139,2024-10-26,37.89,1.93,
140,2024-04-09,34.46,1.92,
141,2024-11-15,40.69,2.59,
142,2024-09-29,32.64,1.22,
143,2024-06-20,31.7,1.74,
144,2024-03-22,28.74,2.45,
145,2024-10-25,29.57,1.76,
146,2024-06-29,40.22,1.77,
147,2024-09-30,32.39,1.56,
148,2024-08-23,34.01,2.53,
149,2024-08-08,32.21,2.84,
150,2024-04-20,35.18,2.61,
151,2024-12-11,25.72,1.7,
152,2024-09-13,41.45,2.83,
153,2024-04-23,37.87,2.19,
154,2024-05-27,36.33,1.53,
155,2024-12-16,52.74,2.61,
156,2024-03-01,39.92,2.2,
157,2024-07-24,40.06,2.63,
158,2024-07-12,39.2,1.95,
159,2024-04-25,31.51,1.96,
160,2024-10-15,35.39,2.48,
161,2024-02-17,38.48,1.74,
162,2024-09-02,34.79,1.59,
163,2024-09-04,30.92,1.96,
164,2024-03-05,41.34,1.48,
165,2024-05-10,33.18,2.06,
166,2024-09-28,40.17,1.39,
167,2024-07-28,38.63,2.09,
168,2024-02-28,31.31,1.85,
169,2024-07-01,35.62,2.08,
170,2024-01-26,29.96,2.62,
171,2024-11-07,40.77,2.33,
172,2024-02-15,36.38,2.04,
173,2024-09-05,30.52,1.71,
174,2024-08-19,36.76,1.41,
175,2024-09-01,34.5,1.81,
176,2024-03-06,35.29,2.38,
177,2024-09-07,34.78,2.28,
178,2024-07-10,29.97,2.77,
179,2024-08-31,34.23,1.99,
180,2024-10-23,29.68,2.25,
181,2025-01-01,30.14,1.63,
182,2024-09-20,38.4,1.22,
183,2024-02-26,40.38,2.15,
184,2024-08-20,33.31,2.18,
185,2024-04-25,43.66,1.29,
186,2024-08-12,33.52,1.28,
187,2024-07-05,37.68,2.2,
188,2024-05-16,36.66,1.87,
189,2024-01-25,34.34,1.92,
190,2024-12-12,37.68,2.92,
191,2024-10-07,36.25,2.16,
192,2024-02-01,32.67,2.53,
193,2024-02-06,32.95,2.25,
194,2024-12-01,41.68,1.45,
195,2024-02-28,36.06,1.37,
196,2024-11-26,37.74,1.84,
197,2024-05-31,31.71,0.91,
198,2024-11-08,35.75,1.56,
199,2024-09-07,37.71,0.93,
200,2024-01-19,38.36,0.9,
201,2024-02-29,37.14,1.1,
202,2024-11-11,36.12,2.37,
203,2024-02-03,34.88,1.96,
204,2024-08-29,28.44,2.62,
205,2024-12-06,31.21,1.98,
206,2024-08-03,30.32,2.11,
207,2024-02-28,36.66,1.23,
208,2024-08-31,31.7,2.43,
209,2024-04-27,31.13,1.57,
210,2024-09-23,28.72,1.88,
211,2024-01-21,30.72,2.03,
212,2024-06-26,41.01,1.86,
213,2024-07-23,42.96,2.75,
214,2024-03-08,41.11,1.49,
215,2024-10-30,36.51,1.57,
216,2024-10-03,32.4,1.83,
217,2024-08-10,41.32,2.35,
218,2024-05-13,33.71,2.26,
219,2024-11-04,31.99,2.46,
220,2024-03-15,30.81,1.52,
221,2024-10-09,34.98,1.23,
222,2024-12-28,30.55,1.44,
223,2024-11-24,37.93,2.18,
224,2024-06-18,35.51,2.91,
225,2024-08-13,33.1,2.12,
226,2024-11-09,40.14,2.25,
227,2024-04-04,43.43,0.79,
228,2024-12-20,36.04,2.18,
229,2024-02-15,35.73,1.68,
230,2024-12-18,29.25,2.21,
231,2024-06-23,40.45,1.73,
232,2024-12-24,35.39,2.32,
233,2024-05-17,33.41,2.21,
234,2024-10-07,30.64,1.96,
235,2024-08-18,36.75,1.65,
236,2024-01-27,35.6,1.88,
237,2024-05-04,39.64,2.35,
238,2024-06-06,33.31,1.84,
239,2024-05-30,39.71,1.7,
240,2024-04-19,36.43,1.94,
241,2024-02-02,40.22,1.31,
242,2024-09-29,43.31,2.02,
243,2024-09-14,36.22,1.71,
244,2024-04-19,33.22,1.13,
245,2024-04-26,38.09,1.95,
246,2024-06-30,26.19,1.96,
247,2024-01-20,33.31,2.69,
248,2024-04-09,42.44,1.97,
249,2024-07-25,32.65,1.58,
250,2024-08-07,38.64,1.65,
251,2024-05-15,25.23,2.22,
252,2024-10-04,32.42,1.7,
253,2024-12-26,34.74,1.87,
254,2024-07-03,44.08,1.54,
255,2024-05-08,36.96,1.28,
256,2024-09-05,41.2,1.62,
257,2024-10-19,39.05,1.5,
258,2024-02-17,31.29,2.37,
259,2024-03-30,33.43,1.88,
260,2024-03-01,26.54,1.7,
261,2024-06-21,41.54,1.47,
262,2025-01-02,39.74,0.83,
263,2024-07-10,29.15,2.63,
264,2024-07-06,26.08,1.51,
265,2024-03-28,36.06,1.6,
266,2024-07-11,35.4,2.73,
267,2024-06-23,30.11,0.94,
268,2024-07-23,44.91,2.57,
269,2024-04-30,35.97,1.31,
270,2024-03-26,35.85,1.85,
271,2024-09-08,39.65,1.86,
272,2024-12-16,37.21,2.87,
273,2024-04-03,39.76,3.46,
274,2024-08-20,35.31,2.32,
275,2024-02-25,33.96,1.74,
276,2024-05-01,33.42,1.97,
277,2024-01-24,36.43,1.46,
278,2024-02-12,30.06,2.47,
279,2024-11-13,35.58,2.95,
280,2024-06-15,32.9,1.85,
281,2024-08-10,34.48,2.49,
282,2024-10-21,32.61,1.7,
283,2024-11-09,36.24,1.91,
284,2024-10-28,35.25,2.61,
285,2024-10-17,32.07,2.63,
286,2024-07-15,28.34,2.13,
287,2024-04-17,36.97,2.93,
288,2024-04-26,32.68,1.72,
289,2024-07-27,39.9,2.58,
290,2024-07-11,22.7,1.05,
291,2024-03-08,39.96,3.26,
292,2025-01-04,36.48,1.93,
293,2024-01-26,33.39,1.15,
294,2024-07-02,41.13,2.28,
295,2024-02-23,37.4,2.14,
296,2024-12-12,37.07,2.7,
297,2024-09-19,36.76,1.4,
298,2024-03-18,31.26,1.85,
299,2024-06-15,33.37,0.34,
300,2024-10-25,43.48,2.09,
301,2024-04-06,23.06,2.41,
302,2024-06-06,27.96,2.32,
303,2024-08-13,28.01,1.19,
304,2024-03-22,33.05,2.61,
305,2024-03-13,35.52,2.05,
306,2024-03-29,37.0,1.9,
307,2024-12-15,37.37,1.78,
308,2024-09-14,24.02,2.09,
309,2024-01-24,31.58,1.9,
310,2024-01-19,30.3,1.26,
311,2024-03-10,41.22,2.17,
312,2024-03-15,28.68,1.76,
313,2024-10-17,41.06,2.34,
314,2024-04-25,26.81,2.62,
315,2024-05-20,35.63,2.33,
316,2024-09-06,37.83,2.4,
317,2024-10-03,31.85,1.87,
318,2024-03-05,35.88,2.75,
319,2024-02-19,31.06,2.39,
320,2024-02-21,21.34,3.06,
321,2024-03-11,40.04,1.49,
322,2024-09-13,35.51,1.77,
323,2024-12-15,38.43,1.66,
324,2024-03-06,32.27,2.68,
325,2024-07-24,32.33,1.74,
326,2024-09-12,38.6,2.45,
327,2024-02-16,26.31,1.88,
328,2024-04-14,26.72,2.36,
329,2024-08-21,41.74,2.24,
330,2024-08-23,40.27,2.04,
331,2024-03-25,35.79,2.15,
332,2024-10-27,40.9,1.91,
333,2024-11-27,32.79,0.63,
334,2024-07-28,38.7,2.51,
335,2024-10-12,27.93,2.07,
336,2024-01-19,32.01,1.96,
337,2024-04-16,43.92,0.65,
338,2024-02-08,31.3,1.97,
339,2024-04-25,34.81,1.72,
340,2024-11-06,34.87,2.07,
341,2024-04-19,29.12,1.7,
342,2024-09-21,27.92,2.07,
343,2024-04-15,27.1,1.51,
344,2024-09-28,33.49,2.46,
345,2024-07-05,36.57,1.02,
346,2024-02-01,42.95,1.8,
347,2024-04-18,23.18,1.91,
348,2024-07-31,30.31,2.39,
349,2024-03-16,29.61,2.62,
350,2024-09-03,43.14,1.71,
351,2024-12-04,33.16,1.3,
352,2024-12-25,34.31,1.33,
353,2024-10-15,36.52,2.47,
354,2024-11-11,28.11,1.68,
355,2024-10-13,37.31,2.6,
356,2024-04-03,32.82,3.67,
357,2024-06-19,37.03,1.99,
358,2024-01-20,31.77,2.32,
359,2024-04-11,42.04,1.97,
360,2024-06-27,40.13,2.13,
361,2024-11-23,33.57,2.26,
362,2024-10-07,46.07,2.36,
363,2024-08-11,35.89,2.21,
364,2024-12-08,32.82,1.84,
365,2024-11-24,44.31,1.84,
366,2024-02-02,38.03,1.52,
367,2024-04-23,24.78,1.35,
368,2024-06-18,32.7,1.93,
369,2024-05-25,38.82,1.89,
370,2024-04-13,34.71,1.8,
371,2024-03-01,28.88,2.12,
372,2024-05-30,32.01,0.99,
373,2024-04-24,27.45,2.21,
374,2024-11-25,30.72,2.91,
375,2024-02-17,38.37,1.23,
376,2024-02-15,39.83,1.16,
377,2024-04-13,38.72,2.26,
378,2024-08-26,31.43,2.16,
379,2024-11-03,39.69,1.68,
380,2024-09-22,38.47,2.65,
381,2024-02-08,38.18,1.84,
382,2024-01-31,39.85,1.96,
383,2024-02-05,37.42,1.65,
384,2024-12-12,36.03,1.46,
385,2024-05-18,33.59,3.27,
386,2024-04-13,26.23,1.72,
387,2024-12-16,35.78,1.72,
388,2024-10-02,33.81,2.09,
389,2024-07-08,32.87,1.9,
390,2024-05-17,33.13,2.13,
391,2024-10-18,43.49,1.74,
392,2024-10-24,37.53,2.04,
393,2024-06-29,32.35,1.89,
394,2024-12-01,32.77,1.72,
395,2024-12-14,32.66,1.87,
396,2024-10-20,33.77,1.84,
397,2024-07-31,44.29,1.7,
398,2024-07-10,41.85,2.94,
399,2024-08-12,45.33,1.52,
400,2024-10-23,34.39,2.7,
401,2024-07-26,30.75,2.09,
402,2024-05-23,39.88,2.08,
403,2024-01-27,27.68,1.38,
404,2024-10-10,40.4,1.77,
405,2024-04-21,32.35,2.68,
406,2024-05-11,35.63,1.83,
407,2024-02-14,34.94,2.21,
408,2024-12-12,32.47,2.03,
409,2024-06-10,36.03,1.98,
410,2024-04-18,39.0,1.57,
411,2024-03-13,38.93,2.32,
412,2024-07-19,40.1,1.69,
413,2024-06-27,39.72,1.12,
414,2024-05-06,39.72,1.93,
415,2024-04-10,37.51,2.41,
416,2024-12-10,30.47,2.4,
417,2024-04-13,35.84,1.8,
418,2024-06-08,39.73,1.55,
419,2024-11-12,39.9,1.76,
420,2024-04-30,34.03,2.22,
421,2024-12-22,29.41,2.75,
422,2024-10-25,40.13,1.7,
423,2024-05-24,25.89,2.64,
424,2024-11-12,28.15,2.62,
425,2024-11-12,24.79,1.46,
426,2024-12-26,32.58,1.88,
427,2024-08-03,32.72,2.2,
428,2024-10-22,39.16,2.18,
429,2024-02-10,32.93,2.04,
430,2024-06-22,37.37,2.22,
431,2024-06-06,30.25,2.35,
432,2024-05-13,43.71,1.94,
433,2024-12-03,38.05,2.23,
434,2024-10-02,30.62,2.43,
435,2024-03-12,30.14,1.91,
436,2024-10-26,32.89,2.29,
437,2024-10-18,35.19,2.76,
438,2024-05-25,33.46,2.02,
439,2024-06-13,34.07,1.89,
440,2024-06-11,36.31,1.89,
441,2024-12-27,33.18,1.18,
442,2024-09-16,31.1,0.55,
443,2024-09-04,22.9,1.8,
444,2024-06-14,37.12,2.04,
445,2024-07-04,29.92,2.7,
446,2024-10-11,42.94,1.83,
447,2024-06-10,29.84,2.96,
448,2024-09-18,28.66,2.05,
449,2024-11-18,24.4,2.55,
450,2024-03-05,28.15,2.24,
451,2024-08-31,46.82,2.61,
452,2024-06-02,32.31,1.8,
453,2024-07-29,31.59,1.39,
454,2024-01-28,31.34,1.61,
455,2024-07-31,27.85,1.44,
456,2024-03-21,34.13,2.2,
457,2024-08-12,38.59,1.79,
458,2024-10-29,32.79,2.41,
459,2024-06-16,35.91,2.14,
460,2024-11-13,36.26,1.71,
461,2024-06-26,33.89,2.3,
462,2024-06-05,35.52,1.65,
463,2024-05-22,35.19,2.64,
464,2024-09-15,32.45,1.4,
465,2024-06-23,32.44,2.24,
466,2024-08-31,28.8,2.22,
467,2024-02-27,37.42,1.42,
468,2024-06-06,29.38,0.88,
469,2024-10-03,33.13,2.64,
470,2024-12-06,39.91,2.1,
471,2024-08-04,42.99,2.83,
472,2024-06-07,38.08,1.93,
473,2024-02-01,24.13,1.37,
474,2024-04-07,37.36,2.65,
475,2024-06-30,31.03,1.97,
476,2024-01-29,34.28,2.07,
477,2024-12-21,35.52,2.24,
478,2024-10-29,31.77,2.11,
479,2024-09-27,27.92,1.92,
480,2024-10-20,38.86,2.38,
481,2024-02-09,33.79,2.01,
482,2024-02-15,35.22,1.77,
483,2024-11-28,36.43,2.93,
484,2024-06-19,38.11,1.44,
485,2024-09-30,40.45,1.8,
486,2024-03-27,34.31,2.22,
487,2024-04-27,45.28,2.38,
488,2024-04-07,28.04,1.59,
489,2024-04-27,26.42,1.41,
490,2024-11-21,37.94,1.94,
491,2024-09-08,37.34,0.79,
492,2024-03-30,35.8,2.57,
493,2024-04-27,32.4,1.56,
494,2024-04-22,31.47,2.15,
495,2024-09-02,35.87,2.0,
496,2024-06-23,26.9,2.08,
497,2024-03-25,35.25,1.15,
498,2024-08-11,33.67,1.75,
499,2024-06-28,48.73,2.0,
500,2024-07-17,32.23,1.62,
501,2024-05-11,34.43,2.14,
502,2024-05-03,32.28,1.74,
503,2024-09-03,38.72,2.32,
504,2024-02-05,18.79,2.94,
505,2024-05-12,28.26,1.71,
506,2024-03-13,36.73,1.94,
507,2024-11-29,35.26,1.35,
508,2024-08-13,41.96,1.77,
509,2024-08-23,33.61,1.62,
510,2025-01-02,38.61,2.29,
511,2024-04-23,30.44,1.34,
512,2024-04-11,41.04,2.85,
513,2024-06-16,44.05,1.67,
514,2024-09-01,36.4,2.66,
515,2024-08-25,33.49,1.75,
516,2024-10-11,33.29,2.61,
517,2024-02-27,34.0,2.04,
518,2024-12-08,36.26,2.33,
519,2024-10-31,30.22,2.22,
520,2024-08-24,33.39,1.58,
521,2024-06-21,33.34,1.93,
522,2024-10-10,36.44,2.46,
523,2024-10-26,29.65,1.76,
524,2024-06-29,35.57,2.09,
525,2024-08-15,34.36,2.27,
526,2024-05-26,34.23,2.33,
527,2024-09-30,39.68,1.38,
528,2024-06-26,38.31,3.09,
529,2024-06-12,30.58,2.45,
530,2024-12-31,26.84,1.93,
531,2024-08-26,38.51,1.73,
532,2024-04-24,35.01,1.81,
533,2024-07-26,32.84,1.52,
534,2024-02-24,33.47,1.73,
535,2024-06-11,38.29,1.93,
536,2024-10-05,33.97,2.02,
537,2024-08-31,38.44,2.34,
538,2024-11-18,31.2,1.44,
539,2024-04-18,34.3,1.17,
540,2024-02-02,30.81,2.55,
541,2024-02-03,,,0.853
542,2024-03-27,,,0.976
543,2024-05-31,,,0.898
544,2024-02-11,,,0.911
545,2024-09-01,,,0.916
546,2024-08-05,,,0.92
547,2024-02-05,,,0.853
548,2024-08-20,,,0.862
549,2024-12-14,,,0.898
550,2024-09-23,,,0.827
551,2024-06-15,,,0.917
552,2024-06-13,,,0.862
553,2024-07-20,,,0.887
554,2024-05-06,,,0.971
555,2024-05-07,,,0.89
556,2024-11-03,,,0.941
557,2024-06-13,,,0.894
558,2024-04-11,,,0.883
559,2024-03-09,,,0.876
560,2024-05-05,,,0.931
561,2024-12-13,,,0.814
562,2024-02-15,,,0.884
563,2024-12-06,,,0.841
564,2024-03-31,,,0.839
565,2024-04-15,,,0.904
566,2024-05-26,,,0.952
567,2024-11-12,,,0.905
568,2024-06-08,,,1.0
569,2024-05-04,,,0.88
570,2024-07-02,,,0.828
571,2024-04-27,,,0.848
572,2024-11-16,,,0.864
573,2024-12-17,,,0.845
574,2024-07-07,,,0.883
575,2024-06-21,,,0.88
576,2024-06-20,,,0.871
577,2024-06-28,,,0.971
578,2024-05-26,,,0.843
579,2024-12-24,,,0.874
580,2024-06-24,,,0.876
581,2024-12-14,,,0.85
582,2024-06-07,,,0.834
583,2024-02-29,,,0.874
584,2024-01-25,,,0.922
585,2024-04-18,,,0.962
586,2024-02-09,,,0.888
587,2024-04-27,,,0.905
588,2024-04-13,,,0.971
589,2024-11-03,,,0.915
590,2024-11-24,,,0.945
591,2024-06-16,,,0.853
592,2024-08-19,,,0.869
593,2024-04-02,,,0.846
594,2024-06-29,,,0.899
595,2024-09-14,,,0.934
596,2024-04-23,,,0.874
597,2024-07-01,,,0.922
598,2024-07-12,,,0.87
599,2024-10-11,,,0.916
600,2024-11-12,,,0.852
601,2024-03-11,,,0.893
602,2024-11-30,,,0.893
603,2024-10-01,,,0.897
604,2024-10-21,,,0.832
605,2024-08-15,,,0.856
606,2024-04-30,,,0.827
607,2024-09-19,,,0.897
608,2024-11-15,,,0.825
609,2024-02-10,,,0.914
610,2024-05-01,,,0.875
611,2024-12-04,,,0.964
612,2024-10-16,,,0.843
613,2024-09-01,,,0.856
614,2024-05-30,,,0.895
615,2024-08-11,,,0.975
616,2024-03-27,,,0.897
617,2024-08-19,,,0.904
618,2024-07-11,,,0.905
619,2024-11-22,,,0.996
620,2024-10-12,,,0.886
621,2024-10-05,,,0.94
622,2024-09-22,,,0.896
623,2024-06-09,,,0.89
624,2024-12-25,,,0.812
625,2024-11-18,,,0.922
626,2024-05-13,,,0.864
627,2024-02-15,,,0.886
628,2024-08-11,,,0.864
629,2024-09-22,,,0.951
630,2024-03-06,,,0.877
631,2024-07-21,,,0.939
632,2024-04-13,,,0.949
633,2024-10-11,,,0.874
634,2024-04-06,,,0.899
635,2024-10-15,,,0.833
636,2024-08-15,,,0.859
637,2024-05-18,,,0.84
638,2024-05-13,,,0.903
639,2024-10-17,,,0.886
640,2024-04-12,,,0.894
641,2024-12-22,,,0.849
642,2024-03-30,,,0.865
643,2024-05-24,,,0.842
644,2024-05-27,,,0.842
645,2024-03-18,,,0.902
646,2024-09-22,,,0.924
647,2024-06-29,,,0.949
648,2024-12-01,,,0.932
649,2024-03-27,,,0.957
650,2024-12-19,,,0.881
651,2024-11-23,,,0.911
652,2024-11-16,,,0.855
653,2024-07-20,,,0.936
654,2024-02-18,,,0.839
655,2024-03-27,,,0.93
656,2024-12-29,,,0.844
657,2024-04-15,,,0.89
658,2024-08-12,,,0.922
659,2024-05-29,,,0.866
660,2024-05-04,,,0.941
661,2024-09-07,,,0.883
662,2024-07-26,,,0.853
663,2024-07-20,,,0.881
664,2024-04-11,,,0.981
665,2024-07-22,,,0.894
666,2024-10-12,,,0.894
667,2024-02-07,,,0.853
668,2024-07-19,,,0.955
669,2024-06-09,,,0.955
670,2024-02-11,,,0.973
671,2024-05-05,,,0.954
672,2024-04-30,,,0.899
673,2025-01-02,,,0.907
674,2024-08-19,,,0.944
675,2024-11-27,,,0.895
676,2024-04-02,,,0.83
677,2024-04-06,,,0.873
678,2024-09-24,,,0.842
679,2024-10-15,,,0.915
680,2024-10-10,,,0.898
681,2024-08-01,,,0.944
682,2024-04-06,,,0.97
683,2024-07-07,,,0.875
684,2024-09-28,,,0.963
685,2024-08-19,,,0.879
686,2024-10-30,,,0.798
687,2024-10-22,,,0.903
688,2024-03-26,,,0.903
689,2024-10-31,,,0.976
690,2024-12-19,,,0.864
691,2024-03-15,,,0.935
692,2024-06-28,,,0.947
693,2024-01-20,,,0.814
694,2024-07-22,,,0.965
695,2024-08-07,,,0.934
696,2024-05-11,,,0.94
697,2024-03-22,,,0.943
698,2024-08-01,,,0.848
699,2024-05-02,,,0.888
700,2024-12-22,,,0.941
701,2024-10-06,,,0.842
702,2024-09-05,,,0.871
703,2024-05-26,,,0.986
704,2024-05-20,,,0.909
705,2024-02-28,,,0.921
706,2024-07-25,,,0.989
707,2024-09-06,,,0.841
708,2024-06-19,,,0.994
709,2024-12-20,,,0.84
710,2024-02-18,,,0.941
711,2024-12-17,,,0.929
712,2024-12-03,,,0.961
713,2024-05-16,,,0.84
714,2024-10-07,,,0.92
715,2024-09-21,,,0.858
716,2024-12-25,,,0.813
717,2024-06-25,,,0.964
718,2024-05-14,,,0.923
719,2024-09-24,,,0.879
720,2024-01-20,,,0.953
721,2024-03-02,,,0.828
722,2024-06-03,,,0.91
723,2024-07-12,,,0.821
724,2024-08-29,,,0.933
725,2024-07-05,,,0.888
726,2024-07-06,,,0.924
727,2024-07-10,,,1.0
728,2024-12-07,,,0.934
729,2024-06-15,,,0.94
730,2024-12-12,,,0.873
731,2024-02-03,,,0.908
732,2024-03-03,,,0.838
733,2024-08-01,,,0.873
734,2024-10-23,,,0.921
735,2024-09-24,,,0.937
736,2024-02-15,,,0.923
737,2024-02-03,,,0.888
738,2024-06-09,,,0.944
739,2024-05-20,,,0.966
740,2024-07-29,,,0.836
741,2024-11-03,,,0.969
742,2024-03-31,,,0.925
743,2024-07-12,,,1.0
744,2024-04-13,,,0.968
745,2024-06-03,,,0.865
746,2024-06-11,,,0.83
747,2024-02-01,,,0.902
748,2024-08-18,,,0.881
749,2024-02-15,,,0.861
750,2024-12-02,,,0.789
751,2024-10-07,,,0.895
752,2024-11-17,,,0.926
753,2024-07-12,,,0.901
754,2024-03-03,,,0.875
755,2024-03-08,,,0.967
756,2024-08-05,,,0.899
757,2024-01-22,,,0.982
758,2024-05-25,,,0.865
759,2024-03-21,,,0.876
760,2024-06-22,,,0.972
761,2024-12-18,,,0.885
762,2024-12-11,,,0.988
763,2024-06-28,,,0.901
764,2024-06-08,,,0.932
