sensor_id,timestamp,measurement_type,value
SHT065,2024-01-01T00:00:00,humidity,44.47
SHT066,2024-01-01T00:00:00,temperature,29.25
SHT066,2024-01-01T00:00:00,humidity,59.62
SHT067,2024-01-01T00:00:00,temperature,22.57
SHT067,2024-01-01T00:00:00,humidity,63.69
SHT068,2024-01-01T00:00:00,temperature,21.09
SHT068,2024-01-01T00:00:00,humidity,47.57
SHT069,2024-01-01T00:00:00,temperature,19.79
SHT069,2024-01-01T00:00:00,humidity,65.46
SHT070,2024-01-01T00:00:00,temperature,25.98
SHT070,2024-01-01T00:00:00,humidity,51.86
SHT071,2024-01-01T00:00:00,temperature,29.57
SHT071,2024-01-01T00:00:00,humidity,53.37
SHT072,2024-01-01T00:00:00,temperature,28.85
SHT072,2024-01-01T00:00:00,humidity,61.22
SHT073,2024-01-01T00:00:00,temperature,22.97
SHT073,2024-01-01T00:00:00,humidity,58.85
SHT074,2024-01-01T00:00:00,temperature,21.24
SHT074,2024-01-01T00:00:00,humidity,62.17
SHT075,2024-01-01T00:00:00,temperature,25.09
SHT075,2024-01-01T00:00:00,humidity,65.27
SHT076,2024-01-01T00:00:00,temperature,27.64
SHT076,2024-01-01T00:00:00,humidity,61.16
SHT077,2024-01-01T00:00:00,temperature,20.57
SHT077,2024-01-01T00:00:00,humidity,69.32
SHT078,2024-01-01T00:00:00,temperature,25.04
SHT078,2024-01-01T00:00:00,humidity,41.06
SHT079,2024-01-01T00:00:00,temperature,25.93
SHT079,2024-01-01T00:00:00,humidity,63.85
SHT080,2024-01-01T00:00:00,temperature,23.92
SHT080,2024-01-01T00:00:00,humidity,58.02
SHT081,2024-01-01T00:00:00,temperature,23.21
SHT081,2024-01-01T00:00:00,humidity,64.16
SHT082,2024-01-01T00:00:00,temperature,25.42
SHT082,2024-01-01T00:00:00,humidity,50.92
SHT083,2024-01-01T00:00:00,temperature,29.85
SHT083,2024-01-01T00:00:00,humidity,53.34
SHT084,2024-01-01T00:00:00,temperature,16.88
SHT084,2024-01-01T00:00:00,humidity,55.29
SHT085,2024-01-01T00:00:00,temperature,28.09
SHT085,2024-01-01T00:00:00,humidity,57.93
SHT086,2024-01-01T00:00:00,temperature,20.1
SHT086,2024-01-01T00:00:00,humidity,49.72
SHT087,2024-01-01T00:00:00,temperature,21.76
SHT087,2024-01-01T00:00:00,humidity,54.25
SHT088,2024-01-01T00:00:00,temperature,24.21
SHT088,2024-01-01T00:00:00,humidity,64.94
SHT089,2024-01-01T00:00:00,temperature,25.39
SHT089,2024-01-01T00:00:00,humidity,61.76
SHT090,2024-01-01T00:00:00,temperature,30.34
SHT090,2024-01-01T00:00:00,humidity,68.61
SHT091,2024-01-01T00:00:00,temperature,27.32
SHT091,2024-01-01T00:00:00,humidity,41.87
SHT092,2024-01-01T00:00:00,temperature,22.74
SHT092,2024-01-01T00:00:00,humidity,44.03
SHT093,2024-01-01T00:00:00,temperature,22.69
SHT093,2024-01-01T00:00:00,humidity,67.95
SHT094,2024-01-01T00:00:00,temperature,23.82
SHT094,2024-01-01T00:00:00,humidity,70.72
SHT095,2024-01-01T00:00:00,temperature,27.08
SHT095,2024-01-01T00:00:00,humidity,60.5
SHT096,2024-01-01T00:00:00,temperature,28.29
SHT096,2024-01-01T00:00:00,humidity,73.64
SHT097,2024-01-01T00:00:00,temperature,26.36
SHT097,2024-01-01T00:00:00,humidity,62.3
SHT098,2024-01-01T00:00:00,temperature,26.9
SHT098,2024-01-01T00:00:00,humidity,45.93
SHT099,2024-01-01T00:00:00,temperature,24.65
SHT099,2024-01-01T00:00:00,humidity,59.76
SHT100,2024-01-01T00:00:00,temperature,23.89
SHT100,2024-01-01T00:00:00,humidity,52.11
SHT101,2024-01-01T00:00:00,temperature,27.99
SHT101,2024-01-01T00:00:00,humidity,61.7
SHT102,2024-01-01T00:00:00,temperature,25.78
SHT102,2024-01-01T00:00:00,humidity,74.25
SHT103,2024-01-01T00:00:00,temperature,24.41
SHT103,2024-01-01T00:00:00,humidity,56.11
SHT104,2024-01-01T00:00:00,temperature,29.08
SHT104,2024-01-01T00:00:00,humidity,45.09
SHT105,2024-01-01T00:00:00,temperature,25.15
SHT105,2024-01-01T00:00:00,humidity,52.62
SHT106,2024-01-01T00:00:00,temperature,25.88
SHT106,2024-01-01T00:00:00,humidity,65.72
SHT107,2024-01-01T00:00:00,temperature,26.88
SHT107,2024-01-01T00:00:00,humidity,70.26
SHT108,2024-01-01T00:00:00,temperature,24.24
SHT108,2024-01-01T00:00:00,humidity,58.1
SHT109,2024-01-01T00:00:00,temperature,26.58
SHT109,2024-01-01T00:00:00,humidity,68.88
SHT110,2024-01-01T00:00:00,temperature,21.1
SHT110,2024-01-01T00:00:00,humidity,63.14
SHT111,2024-01-01T00:00:00,temperature,23.81
SHT111,2024-01-01T00:00:00,humidity,60.87
SHT112,2024-01-01T00:00:00,temperature,23.93
SHT112,2024-01-01T00:00:00,humidity,52.77
SHT113,2024-01-01T00:00:00,temperature,21.94
SHT113,2024-01-01T00:00:00,humidity,58.49
SHT114,2024-01-01T00:00:00,temperature,26.08
SHT114,2024-01-01T00:00:00,humidity,53.97
SHT115,2024-01-01T00:00:00,temperature,28.57
SHT115,2024-01-01T00:00:00,humidity,84.58
SHT116,2024-01-01T00:00:00,temperature,26.24
SHT116,2024-01-01T00:00:00,humidity,59.59
SHT117,2024-01-01T00:00:00,temperature,22.26
SHT117,2024-01-01T00:00:00,humidity,63.7
SHT118,2024-01-01T00:00:00,temperature,29.43
SHT118,2024-01-01T00:00:00,humidity,79.48
SHT119,2024-01-01T00:00:00,temperature,29.19
SHT119,2024-01-01T00:00:00,humidity,68.43
SHT120,2024-01-01T00:00:00,temperature,26.23
SHT120,2024-01-01T00:00:00,humidity,49.51
SHT121,2024-01-01T00:00:00,temperature,24.7
SHT121,2024-01-01T00:00:00,humidity,57.84
SHT122,2024-01-01T00:00:00,temperature,24.72
SHT122,2024-01-01T00:00:00,humidity,52.81
SHT123,2024-01-01T00:00:00,temperature,27.27
SHT123,2024-01-01T00:00:00,humidity,57.26
SHT124,2024-01-01T00:00:00,temperature,23.93
SHT124,2024-01-01T00:00:00,humidity,52.84
SHT125,2024-01-01T00:00:00,temperature,25.7
SHT125,2024-01-01T00:00:00,humidity,74.97
SHT126,2024-01-01T00:00:00,temperature,24.97
SHT126,2024-01-01T00:00:00,humidity,62.82
SHT127,2024-01-01T00:00:00,temperature,30.81
SHT127,2024-01-01T00:00:00,humidity,72.03
SHT128,2024-01-01T00:00:00,temperature,26.76
SHT128,2024-01-01T00:00:00,humidity,65.46
SHT129,2024-01-01T00:00:00,temperature,23.19
SHT129,2024-01-01T00:00:00,humidity,52.99
SHT130,2024-01-01T00:00:00,temperature,25.42
SHT130,2024-01-01T00:00:00,humidity,61.67
SHT131,2024-01-01T00:00:00,temperature,22.45
SHT131,2024-01-01T00:00:00,humidity,67.03
SHT132,2024-01-01T00:00:00,temperature,24.17
SHT132,2024-01-01T00:00:00,humidity,71.27
SHT133,2024-01-01T00:00:00,temperature,24.83
SHT133,2024-01-01T00:00:00,humidity,58.56
SHT134,2024-01-01T00:00:00,temperature,22.19
SHT134,2024-01-01T00:00:00,humidity,51.72
SHT135,2024-01-01T00:00:00,temperature,28.95
SHT135,2024-01-01T00:00:00,humidity,62.69
SHT136,2024-01-01T00:00:00,temperature,26.17
SHT136,2024-01-01T00:00:00,humidity,76.01
SHT137,2024-01-01T00:00:00,temperature,21.05
SHT137,2024-01-01T00:00:00,humidity,66.71
SHT138,2024-01-01T00:00:00,temperature,20.24
SHT138,2024-01-01T00:00:00,humidity,55.62
SHT139,2024-01-01T00:00:00,temperature,21.56
SHT139,2024-01-01T00:00:00,humidity,68.59
SHT140,2024-01-01T00:00:00,temperature,19.33
SHT140,2024-01-01T00:00:00,humidity,57.7
SHT141,2024-01-01T00:00:00,temperature,21.52
SHT141,2024-01-01T00:00:00,humidity,51.45
SHT142,2024-01-01T00:00:00,temperature,22.9
SHT142,2024-01-01T00:00:00,humidity,73.19
SHT143,2024-01-01T00:00:00,temperature,23.99
SHT143,2024-01-01T00:00:00,humidity,77.27
SHT144,2024-01-01T00:00:00,temperature,30.81
SHT144,2024-01-01T00:00:00,humidity,81.14
SHT145,2024-01-01T00:00:00,temperature,24.82
SHT145,2024-01-01T00:00:00,humidity,62.1
SHT146,2024-01-01T00:00:00,temperature,26.13
SHT146,2024-01-01T00:00:00,humidity,56.33
SHT147,2024-01-01T00:00:00,temperature,26.27
SHT147,2024-01-01T00:00:00,humidity,50.65
SHT148,2024-01-01T00:00:00,temperature,19.37
SHT148,2024-01-01T00:00:00,humidity,67.14
SHT149,2024-01-01T00:00:00,temperature,23.95
SHT149,2024-01-01T00:00:00,humidity,50.23
SHT150,2024-01-01T00:00:00,temperature,22.45
SHT150,2024-01-01T00:00:00,humidity,75.15
VIB001,2024-01-01T00:00:00,vibration,0.4641
VIB002,2024-01-01T00:00:00,vibration,-1.5223
VIB003,2024-01-01T00:00:00,vibration,-1.187
VIB004,2024-01-01T00:00:00,vibration,-0.2919
VIB005,2024-01-01T00:00:00,vibration,0.4764
VIB006,2024-01-01T00:00:00,vibration,-0.7946
VIB007,2024-01-01T00:00:00,vibration,-0.1729
VIB008,2024-01-01T00:00:00,vibration,0.1146
VIB009,2024-01-01T00:00:00,vibration,0.1353
VIB010,2024-01-01T00:00:00,vibration,-2.3951
VIB011,2024-01-01T00:00:00,vibration,0.2216
VIB012,2024-01-01T00:00:00,vibration,-1.7329
VIB013,2024-01-01T00:00:00,vibration,-0.2864
VIB014,2024-01-01T00:00:00,vibration,-0.5014
VIB015,2024-01-01T00:00:00,vibration,-1.0787
VIB016,2024-01-01T00:00:00,vibration,0.8432
VIB017,2024-01-01T00:00:00,vibration,-1.124
VIB018,2024-01-01T00:00:00,vibration,-0.5229
VIB019,2024-01-01T00:00:00,vibration,0.8787
VIB020,2024-01-01T00:00:00,vibration,-0.5515
VIB021,2024-01-01T00:00:00,vibration,-0.7585
VIB022,2024-01-01T00:00:00,vibration,-0.2682
VIB023,2024-01-01T00:00:00,vibration,0.5405
VIB024,2024-01-01T00:00:00,vibration,1.4463
VIB025,2024-01-01T00:00:00,vibration,-0.9361
VIB026,2024-01-01T00:00:00,vibration,-0.8551
VIB027,2024-01-01T00:00:00,vibration,-0.2763
VIB028,2024-01-01T00:00:00,vibration,0.2301
VIB029,2024-01-01T00:00:00,vibration,-0.7702
VIB030,2024-01-01T00:00:00,vibration,0.6886
VIB031,2024-01-01T00:00:00,vibration,-0.9173
VIB032,2024-01-01T00:00:00,vibration,-1.9009
VIB033,2024-01-01T00:00:00,vibration,0.5318
VIB034,2024-01-01T00:00:00,vibration,0.6476
VIB035,2024-01-01T00:00:00,vibration,1.0447
VIB036,2024-01-01T00:00:00,vibration,-1.9919
VIB037,2024-01-01T00:00:00,vibration,-0.6656
VIB038,2024-01-01T00:00:00,vibration,-0.2511
VIB039,2024-01-01T00:00:00,vibration,1.757
VIB040,2024-01-01T00:00:00,vibration,-0.1592
VIB041,2024-01-01T00:00:00,vibration,-1.3465
VIB042,2024-01-01T00:00:00,vibration,0.2967
VIB043,2024-01-01T00:00:00,vibration,1.3095
VIB044,2024-01-01T00:00:00,vibration,1.0966
VIB045,2024-01-01T00:00:00,vibration,0.5618
VIB046,2024-01-01T00:00:00,vibration,0.2626
VIB047,2024-01-01T00:00:00,vibration,-2.2678
VIB048,2024-01-01T00:00:00,vibration,0.0257
VIB049,2024-01-01T00:00:00,vibration,0.1781
VIB050,2024-01-01T00:00:00,vibration,-0.1599
VIB051,2024-01-01T00:00:00,vibration,0.7071
VIB052,2024-01-01T00:00:00,vibration,-0.176
VIB053,2024-01-01T00:00:00,vibration,-0.3686
VIB054,2024-01-01T00:00:00,vibration,1.039
VIB055,2024-01-01T00:00:00,vibration,-0.4136
VIB056,2024-01-01T00:00:00,vibration,0.0647
VIB057,2024-01-01T00:00:00,vibration,0.8975
VIB058,2024-01-01T00:00:00,vibration,-1.0107
VIB059,2024-01-01T00:00:00,vibration,-1.1192
VIB060,2024-01-01T00:00:00,vibration,1.3579
VIB061,2024-01-01T00:00:00,vibration,-0.5927
VIB062,2024-01-01T00:00:00,vibration,0.6924
VIB063,2024-01-01T00:00:00,vibration,-1.7753
VIB064,2024-01-01T00:00:00,vibration,-2.5031
VIB065,2024-01-01T00:00:00,vibration,0.3642
VIB066,2024-01-01T00:00:00,vibration,-0.1275
VIB067,2024-01-01T00:00:00,vibration,0.3736
VIB068,2024-01-01T00:00:00,vibration,1.8747
VIB069,2024-01-01T00:00:00,vibration,-1.2373
VIB070,2024-01-01T00:00:00,vibration,0.0382
VIB071,2024-01-01T00:00:00,vibration,1.4775
VIB072,2024-01-01T00:00:00,vibration,-1.093
VIB073,2024-01-01T00:00:00,vibration,-0.5847
VIB074,2024-01-01T00:00:00,vibration,-1.7673
VIB075,2024-01-01T00:00:00,vibration,2.2378
VIB076,2024-01-01T00:00:00,vibration,-2.2045
VIB077,2024-01-01T00:00:00,vibration,0.7986
VIB078,2024-01-01T00:00:00,vibration,-1.3198
VIB079,2024-01-01T00:00:00,vibration,-1.0509
VIB080,2024-01-01T00:00:00,vibration,1.064
DIS001,2024-01-01T00:00:00,displacement,-0.003713
DIS002,2024-01-01T00:00:00,displacement,0.003259
DIS003,2024-01-01T00:00:00,displacement,0.0069
DIS004,2024-01-01T00:00:00,displacement,0.001003
DIS005,2024-01-01T00:00:00,displacement,0.004446
DIS006,2024-01-01T00:00:00,displacement,0.000403
DIS007,2024-01-01T00:00:00,displacement,0.000635
DIS008,2024-01-01T00:00:00,displacement,-0.003175
DIS009,2024-01-01T00:00:00,displacement,0.009644
DIS010,2024-01-01T00:00:00,displacement,0.003714
DIS011,2024-01-01T00:00:00,displacement,0.002609
DIS012,2024-01-01T00:00:00,displacement,0.003851
DIS013,2024-01-01T00:00:00,displacement,-0.003386
DIS014,2024-01-01T00:00:00,displacement,0.004655
DIS015,2024-01-01T00:00:00,displacement,0.007779
DIS016,2024-01-01T00:00:00,displacement,-0.006903
DIS017,2024-01-01T00:00:00,displacement,0.002708
DIS018,2024-01-01T00:00:00,displacement,0.000314
DIS019,2024-01-01T00:00:00,displacement,-0.002596
DIS020,2024-01-01T00:00:00,displacement,-0.005466
DIS021,2024-01-01T00:00:00,displacement,0.00526
DIS022,2024-01-01T00:00:00,displacement,0.00104
DIS023,2024-01-01T00:00:00,displacement,-0.001036
DIS024,2024-01-01T00:00:00,displacement,0.002712
DIS025,2024-01-01T00:00:00,displacement,-0.000637
DIS026,2024-01-01T00:00:00,displacement,-0.00352
DIS027,2024-01-01T00:00:00,displacement,0.000645
DIS028,2024-01-01T00:00:00,displacement,-0.00014
DIS029,2024-01-01T00:00:00,displacement,-0.008871
DIS030,2024-01-01T00:00:00,displacement,-0.003148
DIS031,2024-01-01T00:00:00,displacement,-0.006322
DIS032,2024-01-01T00:00:00,displacement,-0.008257
DIS033,2024-01-01T00:00:00,displacement,0.002338
DIS034,2024-01-01T00:00:00,displacement,-0.003344
DIS035,2024-01-01T00:00:00,displacement,0.005207
DIS036,2024-01-01T00:00:00,displacement,-0.009143
DIS037,2024-01-01T00:00:00,displacement,-0.001489
DIS038,2024-01-01T00:00:00,displacement,-0.00308
DIS039,2024-01-01T00:00:00,displacement,-0.00789
DIS040,2024-01-01T00:00:00,displacement,2.5e-05
DIS041,2024-01-01T00:00:00,displacement,-0.007453
DIS042,2024-01-01T00:00:00,displacement,0.001114
DIS043,2024-01-01T00:00:00,displacement,0.003604
DIS044,2024-01-01T00:00:00,displacement,0.001338
DIS045,2024-01-01T00:00:00,displacement,0.001969
DIS046,2024-01-01T00:00:00,displacement,0.005156
DIS047,2024-01-01T00:00:00,displacement,-0.000134
DIS048,2024-01-01T00:00:00,displacement,-0.00413
DIS049,2024-01-01T00:00:00,displacement,-0.003045
DIS050,2024-01-01T00:00:00,displacement,-0.002937
DIS051,2024-01-01T00:00:00,displacement,-0.005217
DIS052,2024-01-01T00:00:00,displacement,0.003921
DIS053,2024-01-01T00:00:00,displacement,0.002635
DIS054,2024-01-01T00:00:00,displacement,-0.008325
DIS055,2024-01-01T00:00:00,displacement,-0.004132
DIS056,2024-01-01T00:00:00,displacement,-0.00546
DIS057,2024-01-01T00:00:00,displacement,0.001587
DIS058,2024-01-01T00:00:00,displacement,0.005383
DIS059,2024-01-01T00:00:00,displacement,0.002241
DIS060,2024-01-01T00:00:00,displacement,-0.003506
SHT001,2024-01-01T00:30:00,temperature,24.04
SHT001,2024-01-01T00:30:00,humidity,46.07
SHT002,2024-01-01T00:30:00,temperature,21.05
SHT002,2024-01-01T00:30:00,humidity,68.46
SHT003,2024-01-01T00:30:00,temperature,29.33
SHT003,2024-01-01T00:30:00,humidity,52.85
SHT004,2024-01-01T00:30:00,temperature,25.14
SHT004,2024-01-01T00:30:00,humidity,67.21
SHT005,2024-01-01T00:30:00,temperature,20.01
SHT005,2024-01-01T00:30:00,humidity,49.51
SHT006,2024-01-01T00:30:00,temperature,30.98
SHT006,2024-01-01T00:30:00,humidity,50.42
SHT007,2024-01-01T00:30:00,temperature,23.91
SHT007,2024-01-01T00:30:00,humidity,53.97
SHT008,2024-01-01T00:30:00,temperature,19.02
SHT008,2024-01-01T00:30:00,humidity,60.83
SHT009,2024-01-01T00:30:00,temperature,24.92
SHT009,2024-01-01T00:30:00,humidity,61.81
SHT010,2024-01-01T00:30:00,temperature,24.75
SHT010,2024-01-01T00:30:00,humidity,55.4
SHT011,2024-01-01T00:30:00,temperature,23.45
SHT011,2024-01-01T00:30:00,humidity,55.0
SHT012,2024-01-01T00:30:00,temperature,22.03
SHT012,2024-01-01T00:30:00,humidity,51.66
SHT013,2024-01-01T00:30:00,temperature,22.08
SHT013,2024-01-01T00:30:00,humidity,65.73
SHT014,2024-01-01T00:30:00,temperature,25.92
SHT014,2024-01-01T00:30:00,humidity,60.27
SHT015,2024-01-01T00:30:00,temperature,30.83
SHT015,2024-01-01T00:30:00,humidity,50.74
SHT016,2024-01-01T00:30:00,temperature,28.36
SHT016,2024-01-01T00:30:00,humidity,57.4
SHT017,2024-01-01T00:30:00,temperature,25.47
SHT017,2024-01-01T00:30:00,humidity,66.71
SHT018,2024-01-01T00:30:00,temperature,23.57
SHT018,2024-01-01T00:30:00,humidity,49.43
SHT019,2024-01-01T00:30:00,temperature,22.32
SHT019,2024-01-01T00:30:00,humidity,38.94
SHT020,2024-01-01T00:30:00,temperature,26.82
SHT020,2024-01-01T00:30:00,humidity,65.83
SHT021,2024-01-01T00:30:00,temperature,29.75
SHT021,2024-01-01T00:30:00,humidity,64.15
SHT022,2024-01-01T00:30:00,temperature,26.97
SHT022,2024-01-01T00:30:00,humidity,59.18
SHT023,2024-01-01T00:30:00,temperature,26.39
SHT023,2024-01-01T00:30:00,humidity,70.9
SHT024,2024-01-01T00:30:00,temperature,25.54
SHT024,2024-01-01T00:30:00,humidity,54.79
SHT025,2024-01-01T00:30:00,temperature,24.34
SHT025,2024-01-01T00:30:00,humidity,67.52
SHT026,2024-01-01T00:30:00,temperature,23.53
SHT026,2024-01-01T00:30:00,humidity,68.89
SHT027,2024-01-01T00:30:00,temperature,30.73
SHT027,2024-01-01T00:30:00,humidity,69.01
SHT028,2024-01-01T00:30:00,temperature,27.24
SHT028,2024-01-01T00:30:00,humidity,63.48
SHT029,2024-01-01T00:30:00,temperature,22.67
SHT029,2024-01-01T00:30:00,humidity,51.32
SHT030,2024-01-01T00:30:00,temperature,22.37
SHT030,2024-01-01T00:30:00,humidity,65.55
SHT031,2024-01-01T00:30:00,temperature,23.83
SHT031,2024-01-01T00:30:00,humidity,59.71
SHT032,2024-01-01T00:30:00,temperature,26.26
SHT032,2024-01-01T00:30:00,humidity,51.6
SHT033,2024-01-01T00:30:00,temperature,23.49
SHT033,2024-01-01T00:30:00,humidity,63.23
SHT034,2024-01-01T00:30:00,temperature,24.13
SHT034,2024-01-01T00:30:00,humidity,58.03
SHT035,2024-01-01T00:30:00,temperature,21.9
SHT035,2024-01-01T00:30:00,humidity,58.16
SHT036,2024-01-01T00:30:00,temperature,29.96
SHT036,2024-01-01T00:30:00,humidity,55.54
SHT037,2024-01-01T00:30:00,temperature,21.56
SHT037,2024-01-01T00:30:00,humidity,69.58
SHT038,2024-01-01T00:30:00,temperature,26.57
SHT038,2024-01-01T00:30:00,humidity,62.13
SHT039,2024-01-01T00:30:00,temperature,21.04
SHT039,2024-01-01T00:30:00,humidity,48.23
SHT040,2024-01-01T00:30:00,temperature,20.39
SHT040,2024-01-01T00:30:00,humidity,64.32
SHT041,2024-01-01T00:30:00,temperature,28.06
SHT041,2024-01-01T00:30:00,humidity,64.65
SHT042,2024-01-01T00:30:00,temperature,30.85
SHT042,2024-01-01T00:30:00,humidity,55.58
SHT043,2024-01-01T00:30:00,temperature,24.03
SHT043,2024-01-01T00:30:00,humidity,61.07
SHT044,2024-01-01T00:30:00,temperature,24.31
SHT044,2024-01-01T00:30:00,humidity,64.99
SHT045,2024-01-01T00:30:00,temperature,23.08
