task_id,timestamp,progress,progress_rate,progress_accel,quality_score
13,2024-02-16T00:00:00,1.0,0.1583,0.0015,0.9873
14,2024-12-25T00:00:00,0.0,0.0533,-0.0019,0.9225
14,2024-12-31T00:00:00,1.0,0.154,-0.0079,0.8992
15,2024-11-05T00:00:00,0.0,0.048,-0.0027,0.9518
15,2024-11-12T00:00:00,0.875,0.1218,0.0023,0.8926
15,2024-11-13T00:00:00,1.0,0.1522,0.0021,0.8346
16,2024-07-20T00:00:00,0.0,0.0538,0.0114,0.8222
16,2024-07-26T00:00:00,1.0,0.1488,0.0056,0.9151
17,2024-07-08T00:00:00,0.0,0.0638,-0.0119,0.9299
17,2024-07-15T00:00:00,0.5385,0.0886,0.0015,0.8985
17,2024-07-21T00:00:00,1.0,0.1956,0.0027,0.8944
18,2024-02-22T00:00:00,0.0,0.0198,0.0006,0.9412
18,2024-02-28T00:00:00,1.0,0.1484,-0.0025,0.8714
19,2024-06-05T00:00:00,0.0,0.0607,0.0038,0.9681
19,2024-06-12T00:00:00,0.5385,0.0839,0.0026,0.8939
19,2024-06-18T00:00:00,1.0,0.1482,0.002,0.9204
20,2024-01-09T00:00:00,0.0,0.0606,-0.0053,0.8625
20,2024-01-16T00:00:00,0.6364,0.1434,-0.0011,0.9153
20,2024-01-20T00:00:00,1.0,0.1711,0.0023,0.9273
21,2024-03-03T00:00:00,0.0,0.0679,-0.0106,0.8755
21,2024-03-10T00:00:00,0.5833,0.1177,0.0069,0.9033
21,2024-03-15T00:00:00,1.0,0.1331,-0.0041,0.9442
22,2024-06-11T00:00:00,0.0,0.0456,-0.0,0.9308
22,2024-06-18T00:00:00,0.5833,0.0503,0.01,0.8634
22,2024-06-23T00:00:00,1.0,0.1548,-0.0085,0.8789
23,2024-08-18T00:00:00,0.0,0.0749,-0.0096,0.9563
23,2024-08-25T00:00:00,0.7778,0.1223,0.0024,0.9329
23,2024-08-27T00:00:00,1.0,0.1588,-0.0043,0.8818
24,2024-07-19T00:00:00,0.0,0.0208,0.0025,0.9851
24,2024-07-26T00:00:00,0.6364,0.0771,-0.0038,0.8909
24,2024-07-30T00:00:00,1.0,0.1535,0.0044,0.8924
25,2024-03-02T00:00:00,0.0,0.0437,0.0055,0.9331
25,2024-03-09T00:00:00,0.6364,0.1244,0.0006,0.9492
25,2024-03-13T00:00:00,1.0,0.1369,-0.004,0.9373
26,2024-08-01T00:00:00,0.0,0.0175,0.0005,0.8842
26,2024-08-08T00:00:00,0.5833,0.0802,-0.0047,0.8946
26,2024-08-13T00:00:00,1.0,0.1707,-0.0033,0.9607
27,2024-04-10T00:00:00,0.0,0.0513,0.0066,0.8698
27,2024-04-17T00:00:00,1.0,0.149,0.0018,0.891
28,2024-08-05T00:00:00,0.0,0.0691,-0.011,1.0
28,2024-08-12T00:00:00,0.7778,0.1449,-0.0009,0.8724
28,2024-08-14T00:00:00,1.0,0.1327,0.0032,0.9497
29,2024-07-25T00:00:00,0.0,0.0467,0.0055,0.8546
29,2024-08-01T00:00:00,0.5385,0.0822,0.0091,0.9296
29,2024-08-07T00:00:00,1.0,0.1779,-0.0043,0.8538
30,2024-04-05T00:00:00,0.0,0.0428,-0.0041,0.9353
30,2024-04-12T00:00:00,0.875,0.1225,-0.0059,0.9071
30,2024-04-13T00:00:00,1.0,0.1242,-0.009,0.9067
31,2024-01-13T00:00:00,0.0,0.015,0.0039,0.8302
31,2024-01-20T00:00:00,0.875,0.0927,-0.0015,0.9072
31,2024-01-21T00:00:00,1.0,0.1598,0.0009,0.847
32,2024-03-26T00:00:00,0.0,0.0643,0.0048,0.8397
32,2024-04-02T00:00:00,1.0,0.1464,-0.0014,0.911
33,2024-05-13T00:00:00,0.0,0.0459,-0.0003,0.9321
33,2024-05-20T00:00:00,0.5385,0.0816,0.0037,0.9571
33,2024-05-26T00:00:00,1.0,0.1827,-0.0107,0.8909
34,2024-12-13T00:00:00,0.0,0.0107,-0.0122,0.9072
34,2024-12-20T00:00:00,0.5,0.092,0.0015,0.9243
34,2024-12-27T00:00:00,1.0,0.175,0.0003,1.0
35,2024-10-09T00:00:00,0.0,0.0561,0.0092,0.7834
35,2024-10-14T00:00:00,1.0,0.177,-0.0009,0.8026
36,2024-09-15T00:00:00,0.0,0.0584,-0.0015,0.929
36,2024-09-22T00:00:00,0.5385,0.1241,-0.0074,0.9507
36,2024-09-28T00:00:00,1.0,0.1501,0.0068,0.8897
37,2024-11-13T00:00:00,0.0,0.0406,0.0001,0.9051
37,2024-11-20T00:00:00,0.5385,0.0906,-0.0025,0.8387
37,2024-11-26T00:00:00,1.0,0.1413,0.0034,0.8931
38,2024-06-20T00:00:00,0.0,0.0702,-0.0009,0.8284
38,2024-06-27T00:00:00,0.5,0.1119,-0.0034,0.8883
38,2024-07-04T00:00:00,1.0,0.1748,-0.0058,0.9082
39,2024-04-22T00:00:00,0.0,0.0492,0.0035,0.9428
39,2024-04-29T00:00:00,0.875,0.1428,-0.0018,0.9237
39,2024-04-30T00:00:00,1.0,0.1767,-0.0001,0.8866
40,2024-09-24T00:00:00,0.0,0.0578,0.0002,0.8331
40,2024-10-01T00:00:00,0.875,0.1423,-0.0067,0.9187
40,2024-10-02T00:00:00,1.0,0.1341,0.0002,0.9195
41,2024-04-22T00:00:00,0.0,0.0991,0.0037,0.9682
41,2024-04-29T00:00:00,1.0,0.1874,0.0024,0.9143
42,2024-01-02T00:00:00,0.0,0.0287,-0.0006,0.8638
42,2024-01-07T00:00:00,1.0,0.142,0.0094,0.9057
43,2024-05-05T00:00:00,0.0,0.0325,0.0069,0.9478
43,2024-05-10T00:00:00,1.0,0.1702,-0.01,0.9974
44,2024-06-08T00:00:00,0.0,0.0388,0.0039,1.0
44,2024-06-15T00:00:00,0.5,0.1431,-0.0049,0.8278
44,2024-06-22T00:00:00,1.0,0.1786,0.0007,0.875
45,2024-07-21T00:00:00,0.0,0.0624,-0.0008,0.9351
45,2024-07-28T00:00:00,0.6364,0.115,0.0036,0.8553
45,2024-08-01T00:00:00,1.0,0.1785,0.0035,0.9323
46,2024-04-07T00:00:00,0.0,0.0276,0.0085,0.8993
46,2024-04-14T00:00:00,0.875,0.1521,-0.0016,0.913
46,2024-04-15T00:00:00,1.0,0.1559,-0.0141,0.9291
47,2024-07-19T00:00:00,0.0,0.0893,0.0027,0.8521
47,2024-07-24T00:00:00,1.0,0.163,0.0053,0.9256
48,2024-05-27T00:00:00,0.0,0.0485,-0.0012,0.8877
48,2024-06-03T00:00:00,1.0,0.164,-0.007,0.8814
49,2024-05-26T00:00:00,0.0,0.0819,0.0082,0.8261
49,2024-06-02T00:00:00,0.5,0.0774,-0.0014,0.9446
49,2024-06-09T00:00:00,1.0,0.1135,-0.0003,0.8763
50,2024-05-07T00:00:00,0.0,0.0765,-0.0084,0.9046
50,2024-05-14T00:00:00,0.5385,0.096,0.0073,0.9299
50,2024-05-20T00:00:00,1.0,0.1383,0.0043,0.8806
51,2024-05-30T00:00:00,0.0,0.07,-0.0012,0.9527
51,2024-06-06T00:00:00,0.5385,0.1126,0.0163,0.8974
51,2024-06-12T00:00:00,1.0,0.1577,-0.0024,0.9001
52,2024-04-21T00:00:00,0.0,-0.004,0.0023,0.9671
52,2024-04-28T00:00:00,0.5,0.1079,-0.0066,0.8599
52,2024-05-05T00:00:00,1.0,0.1014,0.0049,0.8497
53,2024-01-02T00:00:00,0.0,0.0494,-0.0008,0.9744
53,2024-01-07T00:00:00,1.0,0.1517,0.004,0.9273
54,2024-01-09T00:00:00,0.0,0.0772,-0.0012,0.9935
54,2024-01-16T00:00:00,0.6364,0.0739,0.0043,0.8567
54,2024-01-20T00:00:00,1.0,0.1401,0.0028,0.9281
55,2024-05-31T00:00:00,0.0,0.0621,-0.0069,0.9725
55,2024-06-07T00:00:00,1.0,0.132,-0.0038,0.9319
56,2024-04-25T00:00:00,0.0,0.0443,0.0015,0.7922
56,2024-05-02T00:00:00,0.5833,0.114,0.0011,0.8745
56,2024-05-07T00:00:00,1.0,0.1085,-0.0011,0.8981
57,2024-04-13T00:00:00,0.0,0.0427,-0.0092,0.9797
57,2024-04-20T00:00:00,0.7,0.1072,-0.0011,0.7795
57,2024-04-23T00:00:00,1.0,0.1819,-0.0023,0.9049
58,2024-06-01T00:00:00,0.0,0.0724,-0.0034,0.9482
58,2024-06-08T00:00:00,1.0,0.1088,0.0028,0.9786
59,2024-11-05T00:00:00,0.0,0.0384,0.0056,0.9917
59,2024-11-11T00:00:00,1.0,0.1449,-0.0017,0.8551
60,2024-03-08T00:00:00,0.0,0.0398,-0.0041,0.855
60,2024-03-13T00:00:00,1.0,0.174,-0.0039,0.9129
61,2024-05-14T00:00:00,0.0,0.0508,0.0075,0.8748
61,2024-05-21T00:00:00,0.5833,0.116,0.004,0.9745
61,2024-05-26T00:00:00,1.0,0.1396,-0.0031,0.8469
62,2024-01-22T00:00:00,0.0,0.0947,0.0069,0.8979
62,2024-01-29T00:00:00,1.0,0.1886,-0.0005,0.9362
63,2024-09-20T00:00:00,0.0,0.0502,0.002,0.9146
63,2024-09-27T00:00:00,1.0,0.1415,0.0055,0.9358
64,2024-10-10T00:00:00,0.0,0.0706,0.0016,0.8547
64,2024-10-15T00:00:00,1.0,0.1842,-0.0013,0.9182
65,2024-01-04T00:00:00,0.0,0.0627,0.0018,0.9458
65,2024-01-11T00:00:00,1.0,0.1715,-0.0011,0.9813
66,2024-01-06T00:00:00,0.0,0.0447,0.0017,0.8806
66,2024-01-13T00:00:00,0.7778,0.1143,0.0052,1.0
66,2024-01-15T00:00:00,1.0,0.1428,0.0061,0.8837
67,2024-12-14T00:00:00,0.0,0.0498,0.0088,0.8463
67,2024-12-21T00:00:00,0.5833,0.0816,-0.0004,0.9332
67,2024-12-26T00:00:00,1.0,0.1593,0.0018,0.9017
68,2024-04-25T00:00:00,0.0,0.0657,-0.0146,0.8625
68,2024-04-30T00:00:00,1.0,0.1481,0.0035,0.9745
69,2024-05-07T00:00:00,0.0,0.0323,0.0073,0.8774
69,2024-05-14T00:00:00,1.0,0.1474,0.0029,0.8898
70,2024-02-27T00:00:00,0.0,0.0722,-0.002,0.8805
70,2024-03-05T00:00:00,0.7,0.141,-0.0038,0.9124
70,2024-03-08T00:00:00,1.0,0.1168,0.0091,0.9603
71,2024-05-30T00:00:00,0.0,0.105,0.0067,0.8435
71,2024-06-06T00:00:00,0.7,0.1334,-0.0046,0.9789
71,2024-06-09T00:00:00,1.0,0.128,-0.0057,0.8195
72,2024-04-13T00:00:00,0.0,0.0402,-0.0034,0.8369
72,2024-04-18T00:00:00,1.0,0.1898,0.0026,0.9206
73,2024-06-24T00:00:00,0.0,0.0818,0.0013,0.8626
73,2024-07-01T00:00:00,0.7,0.086,-0.004,0.9753
73,2024-07-04T00:00:00,1.0,0.1249,0.0018,0.9517
74,2024-11-01T00:00:00,0.0,0.0557,0.002,0.9328
74,2024-11-08T00:00:00,1.0,0.1576,0.008,0.848
75,2024-11-08T00:00:00,0.0,0.0548,-0.0091,0.7963
75,2024-11-15T00:00:00,0.5,0.0984,0.0027,0.9815
75,2024-11-22T00:00:00,1.0,0.1984,0.0066,0.9364
76,2024-05-21T00:00:00,0.0,0.0532,-0.0077,0.8927
76,2024-05-28T00:00:00,0.5833,0.1341,0.0045,0.8357
76,2024-06-02T00:00:00,1.0,0.1623,0.0026,0.9175
77,2024-11-17T00:00:00,0.0,0.0494,0.0033,0.9349
77,2024-11-23T00:00:00,1.0,0.1372,0.0023,0.8905
78,2024-07-04T00:00:00,0.0,0.0203,-0.0028,0.8218
78,2024-07-11T00:00:00,0.5385,0.1234,0.0018,0.8822
78,2024-07-17T00:00:00,1.0,0.1784,0.0003,0.8284
79,2024-12-07T00:00:00,0.0,0.0412,0.0082,0.8665
79,2024-12-14T00:00:00,0.5,0.1055,0.0037,0.9295
79,2024-12-21T00:00:00,1.0,0.199,-0.0059,0.8462
80,2024-09-27T00:00:00,0.0,0.0268,-0.0015,0.955
80,2024-10-04T00:00:00,0.7,0.0994,0.0056,0.9018
80,2024-10-07T00:00:00,1.0,0.1278,-0.0088,0.8236
81,2024-02-22T00:00:00,0.0,0.0367,-0.0008,0.9673
81,2024-02-29T00:00:00,0.5833,0.1243,-0.0042,0.9204
81,2024-03-05T00:00:00,1.0,0.183,0.0094,0.8843
82,2024-12-15T00:00:00,0.0,0.0692,0.0069,0.8246
82,2024-12-22T00:00:00,0.7,0.1098,0.0111,0.8849
82,2024-12-25T00:00:00,1.0,0.0914,-0.0006,0.9562
83,2024-05-03T00:00:00,0.0,0.0501,0.0036,0.9469
83,2024-05-09T00:00:00,1.0,0.1429,-0.0026,0.9077
84,2024-11-14T00:00:00,0.0,0.0536,0.0003,0.9048
84,2024-11-21T00:00:00,0.5833,0.0934,0.0038,0.93
84,2024-11-26T00:00:00,1.0,0.1233,-0.0019,0.9047
85,2024-04-26T00:00:00,0.0,0.0393,0.0032,0.8967
85,2024-05-03T00:00:00,0.7778,0.1312,-0.002,0.8003
85,2024-05-05T00:00:00,1.0,0.109,0.0029,0.9133
86,2024-05-08T00:00:00,0.0,0.0588,0.0007,0.9107
86,2024-05-15T00:00:00,0.7778,0.1472,0.0022,0.952
86,2024-05-17T00:00:00,1.0,0.1534,-0.0015,0.9097
87,2024-02-17T00:00:00,0.0,0.0333,-0.0019,0.9089
87,2024-02-24T00:00:00,0.7,0.1233,-0.0005,0.8306
87,2024-02-27T00:00:00,1.0,0.1627,0.0042,0.9822
88,2024-09-28T00:00:00,0.0,0.0588,0.0,0.8493
88,2024-10-05T00:00:00,0.7778,0.1576,0.0012,0.9097
88,2024-10-07T00:00:00,1.0,0.1449,-0.0016,0.9344
89,2024-12-14T00:00:00,0.0,0.0296,0.0081,0.9704
89,2024-12-21T00:00:00,0.7,0.1129,-0.0043,0.7992
89,2024-12-24T00:00:00,1.0,0.125,0.0036,0.9158
90,2024-05-23T00:00:00,0.0,0.0599,-0.0092,0.8802
90,2024-05-30T00:00:00,0.5,0.1273,-0.0005,0.8364
90,2024-06-06T00:00:00,1.0,0.1478,-0.0039,0.9167
91,2024-02-16T00:00:00,0.0,0.0504,0.0027,0.8391
91,2024-02-23T00:00:00,0.7778,0.1188,0.0055,0.8323
91,2024-02-25T00:00:00,1.0,0.1299,0.001,0.9143
92,2024-12-06T00:00:00,0.0,0.0402,-0.0014,0.9267
92,2024-12-13T00:00:00,0.5,0.117,-0.0053,0.9182
92,2024-12-20T00:00:00,1.0,0.1802,-0.0006,0.846
93,2024-01-23T00:00:00,0.0,0.0275,-0.0008,0.9518
93,2024-01-30T00:00:00,0.7778,0.127,0.0009,0.8502
93,2024-02-01T00:00:00,1.0,0.1697,-0.0057,0.8748
94,2024-10-16T00:00:00,0.0,0.0626,-0.0102,0.9087
94,2024-10-23T00:00:00,0.875,0.1167,0.0001,0.8824
94,2024-10-24T00:00:00,1.0,0.1921,-0.002,0.9921
95,2024-11-20T00:00:00,0.0,0.0617,-0.004,0.9165
95,2024-11-25T00:00:00,1.0,0.1439,0.0012,0.8643
96,2024-06-08T00:00:00,0.0,0.0838,0.0046,0.9016
96,2024-06-13T00:00:00,1.0,0.1846,0.0004,0.9549
97,2024-06-11T00:00:00,0.0,0.0508,0.002,0.8959
97,2024-06-17T00:00:00,1.0,0.1519,0.0009,0.8665
98,2024-04-10T00:00:00,0.0,0.042,-0.0011,0.9115
98,2024-04-17T00:00:00,1.0,0.1494,0.0059,0.9424
99,2024-06-16T00:00:00,0.0,0.0461,0.0069,0.9937
99,2024-06-21T00:00:00,1.0,0.1091,0.0047,0.8654
100,2024-08-29T00:00:00,0.0,0.066,0.0062,0.8562
100,2024-09-05T00:00:00,1.0,0.113,0.0042,0.9068
101,2024-09-20T00:00:00,0.0,0.0166,0.0126,0.9312
101,2024-09-27T00:00:00,0.5,0.1134,0.0068,0.871
101,2024-10-04T00:00:00,1.0,0.1526,-0.0066,0.8696
102,2024-07-14T00:00:00,0.0,0.0577,-0.0083,0.8682
102,2024-07-21T00:00:00,0.5385,0.0853,0.0007,0.9287
102,2024-07-27T00:00:00,1.0,0.1648,0.005,0.9686
103,2024-08-04T00:00:00,0.0,0.0621,0.0094,0.906
103,2024-08-11T00:00:00,0.5833,0.1049,0.003,0.8892
103,2024-08-16T00:00:00,1.0,0.1871,0.0057,0.9375
104,2024-07-10T00:00:00,0.0,0.0526,-0.002,0.9351
104,2024-07-17T00:00:00,0.5,0.0775,0.0077,0.8911
104,2024-07-24T00:00:00,1.0,0.1561,-0.0045,0.9361
105,2024-04-05T00:00:00,0.0,0.0409,0.0032,0.9379
105,2024-04-12T00:00:00,0.875,0.1245,-0.0056,0.9766
105,2024-04-13T00:00:00,1.0,0.1462,0.0011,0.9243
106,2024-07-01T00:00:00,0.0,0.0249,0.0023,0.905
106,2024-07-06T00:00:00,1.0,0.1371,-0.0058,0.9303
107,2024-10-12T00:00:00,0.0,0.0726,0.0009,0.8283
107,2024-10-19T00:00:00,1.0,0.1289,-0.0022,0.9782
108,2024-12-07T00:00:00,0.0,0.0451,-0.0023,0.8163
108,2024-12-14T00:00:00,0.5385,0.0907,-0.0062,0.8498
108,2024-12-20T00:00:00,1.0,0.1524,-0.002,0.985
109,2024-08-20T00:00:00,0.0,0.0716,-0.003,0.8542
109,2024-08-27T00:00:00,0.875,0.1652,0.0083,0.7903
109,2024-08-28T00:00:00,1.0,0.1519,-0.0013,0.9325
110,2024-12-04T00:00:00,0.0,0.0889,-0.0024,0.797
110,2024-12-11T00:00:00,0.875,0.1491,0.0069,0.8848
110,2024-12-12T00:00:00,1.0,0.1359,-0.0022,0.9425
111,2024-01-25T00:00:00,0.0,0.0409,0.0016,0.9014
111,2024-02-01T00:00:00,1.0,0.1485,0.0035,0.8761
112,2024-05-30T00:00:00,0.0,0.0414,0.004,0.8507
112,2024-06-06T00:00:00,0.7778,0.1102,-0.0063,0.9425
112,2024-06-08T00:00:00,1.0,0.1479,-0.0066,0.9427
113,2024-02-11T00:00:00,0.0,0.0389,-0.0044,0.8902
113,2024-02-18T00:00:00,0.7778,0.1574,-0.002,0.9288
113,2024-02-20T00:00:00,1.0,0.1645,0.0022,0.9636
114,2024-06-11T00:00:00,0.0,0.0359,-0.0052,0.8469
114,2024-06-18T00:00:00,0.7778,0.1249,-0.0047,0.9074
114,2024-06-20T00:00:00,1.0,0.1515,0.0051,0.9146
115,2024-03-14T00:00:00,0.0,0.0417,0.0021,0.8485
115,2024-03-21T00:00:00,0.5385,0.1031,0.0016,0.9065
115,2024-03-27T00:00:00,1.0,0.1583,-0.0032,0.9576
116,2024-01-07T00:00:00,0.0,0.0864,-0.008,0.8392
116,2024-01-14T00:00:00,0.7,0.1209,-0.0013,0.9948
116,2024-01-17T00:00:00,1.0,0.1544,0.007,0.7975
117,2024-10-09T00:00:00,0.0,0.0663,-0.0036,0.8634
117,2024-10-16T00:00:00,0.5385,0.0989,-0.0071,0.9221
117,2024-10-22T00:00:00,1.0,0.1538,0.0013,0.9444
118,2024-12-04T00:00:00,0.0,0.0803,-0.0018,0.9239
118,2024-12-11T00:00:00,0.7778,0.1336,0.0019,0.9196
118,2024-12-13T00:00:00,1.0,0.1818,-0.0023,0.8237
119,2024-11-22T00:00:00,0.0,0.036,0.0038,0.9012
119,2024-11-27T00:00:00,1.0,0.1406,-0.0054,0.9111
120,2024-09-08T00:00:00,0.0,0.0629,0.0015,0.8873
120,2024-09-15T00:00:00,0.7,0.1229,0.0007,0.9095
120,2024-09-18T00:00:00,1.0,0.1263,0.001,0.878
121,2024-06-15T00:00:00,0.0,0.0708,0.0007,0.9418
121,2024-06-22T00:00:00,0.7,0.114,-0.0013,0.9747
121,2024-06-25T00:00:00,1.0,0.1587,-0.0036,0.9448
122,2024-08-07T00:00:00,0.0,0.0393,0.0011,0.9918
122,2024-08-13T00:00:00,1.0,0.1214,-0.0009,0.9204
123,2024-11-12T00:00:00,0.0,0.0653,-0.0062,0.8232
123,2024-11-19T00:00:00,0.5833,0.1301,-0.0036,0.8619
123,2024-11-24T00:00:00,1.0,0.181,0.0003,0.9038
124,2024-12-13T00:00:00,0.0,0.0464,-0.0061,0.9338
124,2024-12-20T00:00:00,1.0,0.1582,0.0008,0.8942
125,2024-11-07T00:00:00,0.0,0.0442,0.0046,0.8929
125,2024-11-12T00:00:00,1.0,0.1487,0.0026,0.9104
126,2024-02-27T00:00:00,0.0,0.0828,-0.0088,0.915
126,2024-03-05T00:00:00,0.7,0.1059,-0.0047,0.8771
126,2024-03-08T00:00:00,1.0,0.1511,0.0005,0.8241
127,2024-06-12T00:00:00,0.0,0.0392,0.0014,0.8562
127,2024-06-19T00:00:00,0.7778,0.1055,-0.0113,0.8668
127,2024-06-21T00:00:00,1.0,0.127,-0.0049,0.8864
128,2024-02-16T00:00:00,0.0,0.038,-0.0058,0.7942
128,2024-02-23T00:00:00,0.5385,0.1099,0.0038,0.8802
128,2024-02-29T00:00:00,1.0,0.1447,0.0,0.9789
129,2024-02-23T00:00:00,0.0,0.0186,-0.0021,0.8139
129,2024-03-01T00:00:00,0.7778,0.135,-0.0007,0.9101
129,2024-03-03T00:00:00,1.0,0.1531,0.005,0.9269
130,2024-08-11T00:00:00,0.0,0.0666,-0.0053,0.9597
130,2024-08-18T00:00:00,0.5,0.0856,-0.0033,0.9135
130,2024-08-25T00:00:00,1.0,0.156,-0.0054,0.8913
131,2024-06-04T00:00:00,0.0,0.0798,-0.0073,0.9743
131,2024-06-11T00:00:00,0.5833,0.1035,-0.0117,0.8317
131,2024-06-16T00:00:00,1.0,0.1307,-0.0031,0.8948
132,2024-03-30T00:00:00,0.0,-0.0041,0.0009,0.8472
132,2024-04-06T00:00:00,0.875,0.1653,-0.0014,0.9471
132,2024-04-07T00:00:00,1.0,0.1722,0.0054,0.8717
133,2024-02-10T00:00:00,0.0,0.0384,-0.0011,0.9318
133,2024-02-17T00:00:00,0.7778,0.1176,-0.0006,0.9137
133,2024-02-19T00:00:00,1.0,0.1319,-0.0048,0.8921
134,2024-07-30T00:00:00,0.0,0.0495,0.0022,0.9336
134,2024-08-06T00:00:00,0.5385,0.0819,-0.0041,0.8515
134,2024-08-12T00:00:00,1.0,0.1782,-0.0006,0.9008
135,2024-03-22T00:00:00,0.0,0.0512,-0.0036,0.9782
135,2024-03-29T00:00:00,0.7,0.1282,0.0002,0.8447
135,2024-04-01T00:00:00,1.0,0.1268,-0.0015,0.865
136,2024-01-10T00:00:00,0.0,0.0287,-0.0019,0.8892
136,2024-01-16T00:00:00,1.0,0.1528,-0.0025,0.8496
137,2024-04-28T00:00:00,0.0,0.0305,0.0061,0.8374
137,2024-05-05T00:00:00,0.7778,0.135,0.0026,0.8939
137,2024-05-07T00:00:00,1.0,0.1854,0.0025,0.9921
138,2024-08-11T00:00:00,0.0,0.037,-0.0032,0.9264
138,2024-08-17T00:00:00,1.0,0.1448,0.0084,0.9171
139,2024-10-08T00:00:00,0.0,0.0291,-0.0087,0.8961
139,2024-10-15T00:00:00,0.7778,0.126,0.0016,0.9605
139,2024-10-17T00:00:00,1.0,0.1716,-0.0029,0.8353
140,2024-04-07T00:00:00,0.0,0.0253,-0.0037,0.8817
140,2024-04-12T00:00:00,1.0,0.1561,-0.004,0.914
141,2024-11-06T00:00:00,0.0,0.0572,0.0007,0.8436
141,2024-11-13T00:00:00,0.7778,0.1371,0.0104,0.9123
141,2024-11-15T00:00:00,1.0,0.0909,0.0062,0.8649
142,2024-09-15T00:00:00,0.0,0.0953,0.0006,0.8158
142,2024-09-22T00:00:00,0.7778,0.0865,0.0077,0.9553
142,2024-09-24T00:00:00,1.0,0.1945,0.0001,0.8972
143,2024-06-13T00:00:00,0.0,0.0423,-0.0033,0.8804
143,2024-06-20T00:00:00,0.7778,0.1321,-0.0042,0.8165
143,2024-06-22T00:00:00,1.0,0.1532,-0.0043,0.738
144,2024-03-18T00:00:00,0.0,0.0611,-0.0055,0.9331
144,2024-03-25T00:00:00,0.7778,0.1405,0.0014,1.0
144,2024-03-27T00:00:00,1.0,0.1472,-0.0014,0.9342
145,2024-10-14T00:00:00,0.0,0.0489,0.0058,0.8366
145,2024-10-21T00:00:00,0.875,0.1125,0.0038,0.8418
145,2024-10-22T00:00:00,1.0,0.1622,0.0019,0.8653
146,2024-06-10T00:00:00,0.0,0.0573,-0.0062,0.85
146,2024-06-17T00:00:00,0.5,0.0953,0.0004,0.8848
146,2024-06-24T00:00:00,1.0,0.1587,0.0019,0.9765
147,2024-09-24T00:00:00,0.0,0.0481,0.006,0.946
147,2024-09-30T00:00:00,1.0,0.1959,-0.0006,0.879
148,2024-08-09T00:00:00,0.0,0.0752,0.0019,0.9641
148,2024-08-16T00:00:00,0.7778,0.1421,-0.0105,0.9188
148,2024-08-18T00:00:00,1.0,0.1562,0.0007,0.8934
149,2024-07-25T00:00:00,0.0,0.0182,0.0044,0.9187
149,2024-08-01T00:00:00,0.6364,0.1357,-0.0077,0.9254
149,2024-08-05T00:00:00,1.0,0.1453,0.0007,0.8888
150,2024-04-12T00:00:00,0.0,0.0609,-0.0008,0.8474
150,2024-04-19T00:00:00,1.0,0.1517,-0.0011,0.8958
